Date,Total
1978-01-01,0.5306799336650082
1978-02-01,0.5406301824212271
1978-03-01,0.44941956882255385
1978-04-01,0.4958540630182421
1978-05-01,0.5174129353233831
1978-06-01,0.4693200663349918
1978-07-01,0.5091210613598675
1978-08-01,0.4427860696517413
1978-09-01,0.47595356550580437
1978-10-01,0.4577114427860697
1978-11-01,0.3864013266998342
1978-12-01,0.23880597014925364
1979-01-01,0.3383084577114427
1979-02-01,0.3681592039800995
1979-03-01,0.2769485903814263
1979-04-01,0.2371475953565506
1979-05-01,0.2719734660033165
1979-06-01,0.2338308457711441
1979-07-01,0.14427860696517414
1979-08-01,0.21227197346600335
1979-09-01,0.24875621890547273
1979-10-01,0.1724709784411277
1979-11-01,0.1923714759535654
1979-12-01,0.154228855721393
1980-01-01,0.25373134328358204
1980-02-01,0.252072968490879
1980-03-01,0.07960199004975121
1980-04-01,0.016583747927031545
1980-05-01,0.0
1980-06-01,0.11608623548922059
1980-07-01,0.17578772802653397
1980-08-01,0.25870646766169136
1980-09-01,0.3648424543946932
1980-10-01,0.3864013266998342
1980-11-01,0.41459369817578773
1980-12-01,0.21227197346600335
1981-01-01,0.3266998341625208
1981-02-01,0.252072968490879
1981-03-01,0.24543946932006622
1981-04-01,0.34328358208955223
1981-05-01,0.40796019900497515
1981-06-01,0.3548922056384741
1981-07-01,0.3714759535655058
1981-08-01,0.42288557213930356
1981-09-01,0.3548922056384741
1981-10-01,0.3084577114427859
1981-11-01,0.17910447761194026
1981-12-01,0.20895522388059684
1982-01-01,0.320066334991708
1982-02-01,0.24543946932006622
1982-03-01,0.17081260364842443
1982-04-01,0.22885572139303478
1982-05-01,0.2620232172470979
1982-06-01,0.23217247097844107
1982-07-01,0.22719734660033175
1982-08-01,0.22719734660033175
1982-09-01,0.29187396351575445
1982-10-01,0.3598673300165839
1982-11-01,0.3383084577114427
1982-12-01,0.3349917081260366
1983-01-01,0.31011608623548936
1983-02-01,0.3797678275290214
1983-03-01,0.48258706467661694
1983-04-01,0.6202321724709784
1983-05-01,0.6898839137645106
1983-06-01,0.6716417910447762
1983-07-01,0.681592039800995
1983-08-01,0.6500829187396352
1983-09-01,0.6334991708126038
1983-10-01,0.6235489220563847
1983-11-01,0.6533996683250413
1983-12-01,0.7048092868988393
1984-01-01,0.8026533996683248
1984-02-01,0.7578772802653401
1984-03-01,0.8175787728026535
1984-04-01,0.7363184079601989
1984-05-01,0.769485903814262
1984-06-01,0.72636815920398
1984-07-01,0.7446102819237147
1984-08-01,0.7860696517412934
1984-09-01,0.8159203980099504
1984-10-01,0.7396351575456052
1984-11-01,0.7296849087893865
1984-12-01,0.6832504145936983
1985-01-01,0.7346600331674958
1985-02-01,0.6965174129353234
1985-03-01,0.6965174129353234
1985-04-01,0.7114427860696516
1985-05-01,0.6650082918739634
1985-06-01,0.7429519071310117
1985-07-01,0.7014925373134328
1985-08-01,0.6749585406301825
1985-09-01,0.6699834162520729
1985-10-01,0.6086235489220565
1985-11-01,0.6500829187396352
1985-12-01,0.6998341625207297
1986-01-01,0.728026533996683
1986-02-01,0.7330016583747928
1986-03-01,0.7197346600331674
1986-04-01,0.7379767827529021
1986-05-01,0.7147595356550579
1986-06-01,0.7893864013266997
1986-07-01,0.7628524046434494
1986-08-01,0.7164179104477614
1986-09-01,0.6666666666666669
1986-10-01,0.728026533996683
1986-11-01,0.658374792703151
1986-12-01,0.6202321724709784
1987-01-01,0.6417910447761194
1987-02-01,0.6384742951907131
1987-03-01,0.6484245439469319
1987-04-01,0.681592039800995
1987-05-01,0.6533996683250413
1987-06-01,0.6600331674958541
1987-07-01,0.6965174129353234
1987-08-01,0.7081260364842455
1987-09-01,0.6948590381426202
1987-10-01,0.6235489220563847
1987-11-01,0.5207296849087893
1987-12-01,0.582089552238806
1988-01-01,0.6484245439469319
1988-02-01,0.6616915422885571
1988-03-01,0.7114427860696516
1988-04-01,0.6550580431177447
1988-05-01,0.7147595356550579
1988-06-01,0.7131011608623549
1988-07-01,0.6915422885572141
1988-08-01,0.7578772802653401
1988-09-01,0.7562189054726368
1988-10-01,0.7031509121061358
1988-11-01,0.6849087893864013
1988-12-01,0.6666666666666669
1989-01-01,0.7661691542288559
1989-02-01,0.724709784411277
1989-03-01,0.7064676616915423
1989-04-01,0.6600331674958541
1989-05-01,0.6467661691542289
1989-06-01,0.6451077943615257
1989-07-01,0.6683250414593699
1989-08-01,0.628524046434494
1989-09-01,0.7313432835820896
1989-10-01,0.6998341625207297
1989-11-01,0.6500829187396352
1989-12-01,0.6434494195688226
1990-01-01,0.6849087893864013
1990-02-01,0.626865671641791
1990-03-01,0.6567164179104478
1990-04-01,0.6998341625207297
1990-05-01,0.6451077943615257
1990-06-01,0.6069651741293532
1990-07-01,0.6053067993366502
1990-08-01,0.4096185737976784
1990-09-01,0.3499170812603648
1990-10-01,0.20232172470978427
1990-11-01,0.2371475953565506
1990-12-01,0.22885572139303478
1991-01-01,0.25041459369817576
1991-02-01,0.31011608623548936
1991-03-01,0.5970149253731344
1991-04-01,0.4991708126036484
1991-05-01,0.441127694859038
1991-06-01,0.5041459369817577
1991-07-01,0.5174129353233831
1991-08-01,0.5024875621890547
1991-09-01,0.5190713101160863
1991-10-01,0.441127694859038
1991-11-01,0.28855721393034817
1991-12-01,0.27363184079602
1992-01-01,0.2620232172470979
1992-02-01,0.2835820895522386
1992-03-01,0.4029850746268656
1992-04-01,0.42288557213930356
1992-05-01,0.4560530679933664
1992-06-01,0.47595356550580437
1992-07-01,0.4129353233830845
1992-08-01,0.40464344941956865
